"species","val","n"
"Aedes taeniorhynchus",0.249198715887542,2
"Anax imperator",2.24971841590176,6
"Anisops sardeus",0.9,1
"Anopheles quadrimaculatus",1,1
"Atalophlebia australis",0.252654383906255,3
"Caenis horaria",0.591607978309962,2
"Chaoborus obscuripes",0.686571984741625,9
"Chironomus dilutus",0.444773373022343,5
"Chironomus plumosus",49.6296930653547,15
"Chironomus riparius",0.174928556845359,2
"Chironomus tentans",0.388770939339518,14
"Claassenia sabulosa",1.01291658096805,2
"Cloeon dipterum",0.432090862593986,11
"Corixa punctata",2.63339723442087,5
